,No,Pos,Name,Date of birth (age),Height,App,Goals,Club
0,1,GK,Sławomir Szmal,2 October 1978 (aged 37),1.90 m,279,2,Poland Vive Targi Kielce
1,3,RB,Krzysztof Lijewski,7 July 1983 (aged 33),1.98 m,173,409,Poland Vive Targi Kielce
2,5,RW,Mateusz Jachlewski,27 December 1984 (aged 31),1.84 m,108,236,Poland Vive Targi Kielce
3,6,LW,Przemysław Krajewski,20 January 1987 (aged 29),1.84 m,69,132,Poland Azoty-Puławy
4,8,LB,Karol Bielecki,23 January 1982 (aged 34),2.02 m,244,891,Poland Vive Targi Kielce
5,11,LW,Adam Wiśniewski,24 October 1980 (aged 35),1.92 m,146,189,Poland Wisła Płock
6,13,P,Bartosz Jurecki,31 January 1979 (aged 37),1.93 m,227,723,Poland Chrobry Głogów
7,15,LB,Michał Jurecki,27 October 1984 (aged 31),2.02 m,189,528,Poland Vive Targi Kielce
8,16,GK,Piotr Wyszomirski,6 January 1988 (aged 28),1.93 m,104,0,Germany TBV Lemgo
9,23,P,Kamil Syprzak,23 July 1991 (aged 25),2.08 m,87,164,Spain Barcelona
10,26,RW,Michał Daszek,27 June 1992 (aged 24),1.80 m,56,110,Poland Wisła Płock
11,28,CB,Łukasz Gierak,22 June 1988 (aged 28),1.92 m,6,6,Poland Pogoń Szczecin
12,35,P,Mateusz Kus,14 July 1987 (aged 29),2.00 m,5,4,Poland Vive Targi Kielce
13,45,RB,Michał Szyba,18 March 1988 (aged 28),1.96 m,57,82,Slovenia Gorenje Velenje
